Category ID,Category Title,Products,Pages,Category ID
5xthh,Target / baby / health & safety / baby health / grooming & first aid,138,3,http://www.target.com/c/grooming-first-aid-baby-health-safety/-/N-5xthh#?lnk=lnav_shop%20baby%20health_1&intc=754609%7Cnull
5xth7,Target / baby / health & safety / medicine / cough & cold relief,12,1,http://www.target.com/c/cough-cold-relief-medicine-health-safety/-/N-5xth7#?lnk=lnav_shop categories_1
5xth6,Target / baby / health & safety / medicine / pain & fever relief,7,1,http://www.target.com/c/pain-fever-relief-medicine-health-safety/-/N-5xth6#?lnk=lnav_shop categories_2
5xtgy,Target / baby / nursery / baby bedding / blankets & quilts,324,6,http://www.target.com/c/blankets-quilts-baby-bedding-nursery/-/N-5xtgy#?lnk=lnav_shop%20bedding_2&intc=757097%7Cnull
5xtgv,Target / baby / nursery / baby bedding / crib pads,43,1,http://www.target.com/c/crib-pads-baby-bedding-nursery/-/N-5xtgv#?lnk=lnav_shop%20bedding_7&intc=757097%7Cnull
56hz6,Target / baby / nursery / baby bedding / crib skirts,57,1,http://www.target.com/c/crib-skirts-baby-bedding-nursery/-/N-56hz6#?lnk=lnav_shop%20bedding_6&intc=757097%7Cnull
4ycmv,Target / baby / nursery / baby bedding / swaddling & wearable blankets,160,3,http://www.target.com/c/swaddling-wearable-blankets-baby-bedding-nursery/-/N-4ycmv#?lnk=lnav_shop%20bedding_3&intc=757097%7Cnull
5xtgj,Target / baby / nursery / baby decor / clocks & wall decor,284,5,http://www.target.com/c/clocks-wall-decor-baby-nursery/-/N-5xtgj#?lnk=lnav_shop categories_1
5xtgm,Target / baby / nursery / baby decor / rugs,50,1,http://www.target.com/c/rugs-baby-decor-nursery/-/N-5xtgm#?lnk=lnav_shop categories_5
5xtgg,Target / baby / nursery / nursery furniture / bassinets & bedside sleepers,37,1,http://www.target.com/c/bassinets-bedside-sleepers-nursery-furniture/-/N-5xtgg#?lnk=lnav_shop%20categories_1&intc=824551%7Cnull
5xtgf,Target / baby / nursery / nursery furniture / changing tables & dressers,139,3,http://www.target.com/c/changing-tables-dressers-nursery-furniture/-/N-5xtgf#?lnk=lnav_shop%20categories_2&intc=824551%7Cnull
5xtge,Target / baby / nursery / nursery furniture / crib conversion rails,27,1,http://www.target.com/c/crib-conversion-rails-nursery-furniture/-/N-5xtge#?lnk=lnav_shop%20categories_3&intc=824551%7Cnull
5xtgd,Target / baby / nursery / nursery furniture / crib mattresses,52,1,http://www.target.com/c/crib-mattresses-nursery-furniture/-/N-5xtgd#?lnk=lnav_shop%20categories_4&intc=824551%7Cnull
