url,name,full name,items,ta pages
http://www.belk.com/AST/Main/Belk_Primary/Jewelry_And_Watches/Shop/Watches/Womens/AllWomensWatches.jsp,All Women's Watches,Shop  /  Women  /  Watches  /  All Women's Watches,1373,69
http://www.belk.com/AST/Main/Belk_Primary/Shoes/Shop/Womens/Boots.jsp,Boots,Shop  /  Shoes  /  Boots,1340,67
http://www.belk.com/AST/Main/Belk_Primary/Shoes/Shop/Mens.jsp,Shoes,Shop  /  Men  /  Shoes,1336,67
http://www.belk.com/AST/Main/Belk_Primary/Beauty_And_Fragrance/Shop/Skincare.jsp,Skincare,Shop  /  Beauty & Fragrance  /  Skincare,1334,67
http://www.belk.com/AST/Main/Belk_Primary/For_the_Home/Featured_Shop/CoutureTabletop.jsp,Designer Tabletop,Shop  /  For the Home  /  Designer Tabletop,1324,67
http://www.belk.com/AST/Main/Belk_Primary/Jewelry_And_Watches/Shop/FineJewelry/Earrings.jsp,Earrings,Shop  /  Jewelry & Watches  /  Earrings,1323,67
http://www.belk.com/AST/Main/Belk_Primary/Shoes/Shop/Mens/AllMensShoes.jsp,All Men's Shoes,Shop  /  Shoes  /  All Men's Shoes,1321,67
http://www.belk.com/AST/Main/Belk_Primary/Beauty_And_Fragrance/Shop/Fragrance.jsp,Fragrance,Shop  /  Beauty & Fragrance  /  Fragrance,1314,66
http://www.belk.com/AST/Main/Belk_Primary/For_the_Home/Shop/Kitchen/CookwareMore.jsp,Cookware,Shop  /  For the Home  /  Kitchen  /  Cookware,1283,65
http://www.belk.com/AST/Main/Belk_Primary/Handbags_And_Accessories/Shop/HandbagsWallets/Designer.jsp,Designer,Shop  /  Handbags & Accessories  /  Designer,1274,64
http://www.belk.com/AST/Main/Belk_Primary/Shoes/Shop/Juniors/AllJuniorsShoes.jsp,All Juniors' Shoes,Shop  /  Shoes  /  All Juniors' Shoes,1271,64
http://www.belk.com/AST/Main/Belk_Primary/Jewelry_And_Watches/Shop/Watches/Womens/Fashion.jsp,Fashion,Shop  /  Women  /  Watches  /  Fashion,1215,61
http://www.belk.com/AST/Main/Belk_Primary/For_the_Home/Featured_Shop/CoutureTabletop/ShopAll.jsp,Shop All,Shop  /  For the Home  /  Designer Tabletop  /  Shop All,1209,61
http://www.belk.com/AST/Main/Belk_Primary/Men/Shop/Activewear.jsp,Active & Outdoor,Shop  /  Men  /  Active & Outdoor,1208,61
