category id,url,name,Full Name,items,Pages
959c509c510,https://www.dollartree.com/Wholesale-Restaurant-Supplies-Glassware-and-Barware-at-DollarTree-com/paper-plastic/paper-towels-napkins/959c509c510/index.cat,Paper Towels & Napkins,"Home  /  Shop by Business  /  Restaurants, Bars & Hospitality  /  Paper, Plastic & Foam  /  Paper Towels & Napkins",6,1
963c592c1002,https://www.dollartree.com/Wholesale-Supplies-for-Hospitals-and-Care-Facilities-at-DollarTree-com/baby-children/Baby-Toys/963c592c1002/index.cat,Baby Toys,Home  /  Shop by Business  /  Care Facilities  /  Baby & Children  /  Baby Toys,6,1
962c509c510,https://www.dollartree.com/Wholesale-Church-Supplies-Bibles-and-Personal-Care-at-DollarTree-com/paper-plastic/paper-towels-napkins/962c509c510/index.cat,Paper Towels & Napkins,"Home  /  Shop by Business  /  Religious & Nonprofit Organizations  /  Paper, Plastic & Foam  /  Paper Towels & Napkins",6,1
962c592c1002,https://www.dollartree.com/Wholesale-Church-Supplies-Bibles-and-Personal-Care-at-DollarTree-com/baby-children/Baby-Toys/962c592c1002/index.cat,Baby Toys,Home  /  Shop by Business  /  Religious & Nonprofit Organizations  /  Baby & Children  /  Baby Toys,6,1
1149c1159c1180,https://www.dollartree.com/Food-Snacks-Drinks/Drinks/Milk/1149c1159c1180/index.cat,Milk,Home  /  Food & Pantry  /  Drinks  /  Milk,7,1
629c572c1384,https://www.dollartree.com/toys/craft-ideas/Easter-Crafts/629c572c1384/index.cat,Easter Crafts,Home  /  Party Supplies  /  Wedding Ideas  /  Easter Crafts,7,1
591c599c1201,https://www.dollartree.com/health-beauty/hair-care/Hair-Coloring/591c599c1201/index.cat,Hair Coloring,Home  /  Health & Beauty  /  Hair Care  /  Hair Coloring,7,1
629c572c1384,https://www.dollartree.com/toys/craft-ideas/Easter-Crafts/629c572c1384/index.cat,Easter Crafts,Home  /  Health & Beauty  /  Care Package Ideas  /  Easter Crafts,7,1
629c572c1384,https://www.dollartree.com/toys/craft-ideas/Easter-Crafts/629c572c1384/index.cat,Easter Crafts,Home  /  Toys & Crafts  /  Craft Ideas  /  Easter Crafts,7,1
963c599c1201,https://www.dollartree.com/Wholesale-Supplies-for-Hospitals-and-Care-Facilities-at-DollarTree-com/hair-care/Hair-Coloring/963c599c1201/index.cat,Hair Coloring,Home  /  Shop by Business  /  Care Facilities  /  Hair Care  /  Hair Coloring,7,1
962c599c1201,https://www.dollartree.com/Wholesale-Church-Supplies-Bibles-and-Personal-Care-at-DollarTree-com/hair-care/Hair-Coloring/962c599c1201/index.cat,Hair Coloring,Home  /  Shop by Business  /  Religious & Nonprofit Organizations  /  Hair Care  /  Hair Coloring,7,1
958c956c956,https://www.dollartree.com/Wholesale-Floral-Supplies-Flower-Shop-Supplies-at-DollarTree-com/Plush/958c956c956/index.cat,Plush,Home  /  Shop by Business  /  Florists & Gift Shops  /  Plush,8,1
591c606c1362,https://www.dollartree.com/health-beauty/clothing-accessories/Accessories/591c606c1362/index.cat,Accessories,Home  /  Household  /  Clothing & Accessories  /  Accessories,8,1
1149c1157c1170,https://www.dollartree.com/Food-Snacks-Drinks/Snacks/Nutrition-Bars/1149c1157c1170/index.cat,Nutrition Bars,Home  /  Food & Pantry  /  Snacks  /  Nutrition Bars,8,1
1149c1159c1178,https://www.dollartree.com/Food-Snacks-Drinks/Drinks/Sport-Energy-Drinks/1149c1159c1178/index.cat,Sport & Energy Drinks,Home  /  Food & Pantry  /  Drinks  /  Sport & Energy Drinks,8,1
574c862c658,https://www.dollartree.com/party-supplies/Shop-By-Color/Light-Blue-Party-Supplies/574c862c658/index.cat,Light Blue Party Supplies,Home  /  Party Supplies  /  Shop By Color  /  Light Blue Party Supplies,8,1
574c577c1137,https://www.dollartree.com/party-supplies/birthday/Cupcake/574c577c1137/index.cat,Cupcake,Home  /  Party Supplies  /  Birthday  /  Cupcake,8,1
574c577c1138,https://www.dollartree.com/party-supplies/birthday/Confetti/574c577c1138/index.cat,Confetti,Home  /  Party Supplies  /  Birthday  /  Confetti,8,1
591c593c1032,https://www.dollartree.com/health-beauty/bath-body/Bath-Sponges-More/591c593c1032/index.cat,Bath Sponges & More,Home  /  Health & Beauty  /  Bath & Body  /  Bath Sponges & More,8,1
591c606c1362,https://www.dollartree.com/health-beauty/clothing-accessories/Accessories/591c606c1362/index.cat,Accessories,Home  /  Health & Beauty  /  Clothing & Accessories  /  Accessories,8,1
610c616c621,https://www.dollartree.com/office-school/learning-educational/flash-cards/610c616c621/index.cat,Flash Cards,Home  /  Office & School  /  Learning & Educational  /  Flash Cards,8,1
610c616c621,https://www.dollartree.com/office-school/learning-educational/flash-cards/610c616c621/index.cat,Flash Cards,Home  /  Toys & Crafts  /  Coloring & Activity Books  /  Flash Cards,8,1
963c593c1032,https://www.dollartree.com/Wholesale-Supplies-for-Hospitals-and-Care-Facilities-at-DollarTree-com/bath-body/Bath-Sponges-More/963c593c1032/index.cat,Bath Sponges & More,Home  /  Shop by Business  /  Care Facilities  /  Bath & Body  /  Bath Sponges & More,8,1
963c606c1362,https://www.dollartree.com/Wholesale-Supplies-for-Hospitals-and-Care-Facilities-at-DollarTree-com/clothing-accessories/Accessories/963c606c1362/index.cat,Accessories,Home  /  Shop by Business  /  Care Facilities  /  Clothing & Accessories  /  Accessories,8,1
962c593c1032,https://www.dollartree.com/Wholesale-Church-Supplies-Bibles-and-Personal-Care-at-DollarTree-com/bath-body/Bath-Sponges-More/962c593c1032/index.cat,Bath Sponges & More,Home  /  Shop by Business  /  Religious & Nonprofit Organizations  /  Bath & Body  /  Bath Sponges & More,8,1
962c606c1362,https://www.dollartree.com/Wholesale-Church-Supplies-Bibles-and-Personal-Care-at-DollarTree-com/clothing-accessories/Accessories/962c606c1362/index.cat,Accessories,Home  /  Shop by Business  /  Religious & Nonprofit Organizations  /  Clothing & Accessories  /  Accessories,8,1
1284c875c875,https://www.dollartree.com/Summer-Fun/Bulk-Suncare/1284c875c875/index.cat,Suncare,Home  /  Health & Beauty  /  Suncare,9,1
1284c875c875,https://www.dollartree.com/Summer-Fun/Bulk-Suncare/1284c875c875/index.cat,Suncare,Home  /  Seasonal & Holidays  /  Suncare,9,1
1284c875c875,https://www.dollartree.com/Summer-Fun/Bulk-Suncare/1284c875c875/index.cat,Suncare,Home  /  Summer Fun  /  Suncare,9,1
1149c1157c1167,https://www.dollartree.com/Food-Snacks-Drinks/Snacks/Dips-Salsa/1149c1157c1167/index.cat,Dips & Salsa,Home  /  Food & Pantry  /  Snacks  /  Dips & Salsa,9,1
1149c1159c1176,https://www.dollartree.com/Food-Snacks-Drinks/Drinks/Drink-Mixes/1149c1159c1176/index.cat,Drink Mixes,Home  /  Food & Pantry  /  Drinks  /  Drink Mixes,9,1
1149c1159c1181,https://www.dollartree.com/Food-Snacks-Drinks/Drinks/Tea/1149c1159c1181/index.cat,Tea,Home  /  Food & Pantry  /  Drinks  /  Tea,9,1
574c862c661,https://www.dollartree.com/party-supplies/Shop-By-Color/Silver-Party-Supplies/574c862c661/index.cat,Silver Party Supplies,Home  /  Party Supplies  /  Shop By Color  /  Silver Party Supplies,9,1
574c577c1139,https://www.dollartree.com/party-supplies/birthday/Sports/574c577c1139/index.cat,Sports,Home  /  Party Supplies  /  Birthday  /  Sports,9,1
629c572c1391,https://www.dollartree.com/toys/craft-ideas/Valentine-s-Day-Crafts/629c572c1391/index.cat,Valentine's Day Crafts,Home  /  Party Supplies  /  Wedding Ideas  /  Valentine's Day Crafts,9,1
629c572c1309,https://www.dollartree.com/toys/craft-ideas/Party-Decor-Gift-Ideas/629c572c1309/index.cat,"Party, Decor & Gift Ideas","Home  /  Party Supplies  /  Wedding Ideas  /  Party, Decor & Gift Ideas",9,1
591c599c1197,https://www.dollartree.com/health-beauty/hair-care/Hair-Scalp-Treatments/591c599c1197/index.cat,Hair & Scalp Treatments,Home  /  Health & Beauty  /  Hair Care  /  Hair & Scalp Treatments,9,1
591c602c1220,https://www.dollartree.com/health-beauty/cosmetics/e-l-f-/591c602c1220/index.cat,e.l.f.,Home  /  Health & Beauty  /  Cosmetics  /  e.l.f.,9,1
591c602c1226,https://www.dollartree.com/health-beauty/cosmetics/Cosmetic-Tools/591c602c1226/index.cat,Cosmetic Tools,Home  /  Health & Beauty  /  Cosmetics  /  Cosmetic Tools,9,1
591c592c989,https://www.dollartree.com/health-beauty/baby-children/Feeding/591c592c989/index.cat,Feeding,Home  /  Health & Beauty  /  Baby & Children  /  Feeding,9,1
629c572c1391,https://www.dollartree.com/toys/craft-ideas/Valentine-s-Day-Crafts/629c572c1391/index.cat,Valentine's Day Crafts,Home  /  Health & Beauty  /  Care Package Ideas  /  Valentine's Day Crafts,9,1
629c572c1309,https://www.dollartree.com/toys/craft-ideas/Party-Decor-Gift-Ideas/629c572c1309/index.cat,"Party, Decor & Gift Ideas","Home  /  Health & Beauty  /  Care Package Ideas  /  Party, Decor & Gift Ideas",9,1
610c616c618,https://www.dollartree.com/office-school/learning-educational/prizes-rewards/610c616c618/index.cat,Prizes & Rewards,Home  /  Office & School  /  Learning & Educational  /  Prizes & Rewards,9,1
610c616c618,https://www.dollartree.com/office-school/learning-educational/prizes-rewards/610c616c618/index.cat,Prizes & Rewards,Home  /  Toys & Crafts  /  Coloring & Activity Books  /  Prizes & Rewards,9,1
629c572c1391,https://www.dollartree.com/toys/craft-ideas/Valentine-s-Day-Crafts/629c572c1391/index.cat,Valentine's Day Crafts,Home  /  Toys & Crafts  /  Craft Ideas  /  Valentine's Day Crafts,9,1
629c572c1309,https://www.dollartree.com/toys/craft-ideas/Party-Decor-Gift-Ideas/629c572c1309/index.cat,"Party, Decor & Gift Ideas","Home  /  Toys & Crafts  /  Craft Ideas  /  Party, Decor & Gift Ideas",9,1
963c592c989,https://www.dollartree.com/Wholesale-Supplies-for-Hospitals-and-Care-Facilities-at-DollarTree-com/baby-children/Feeding/963c592c989/index.cat,Feeding,Home  /  Shop by Business  /  Care Facilities  /  Baby & Children  /  Feeding,9,1
963c599c1197,https://www.dollartree.com/Wholesale-Supplies-for-Hospitals-and-Care-Facilities-at-DollarTree-com/hair-care/Hair-Scalp-Treatments/963c599c1197/index.cat,Hair & Scalp Treatments,Home  /  Shop by Business  /  Care Facilities  /  Hair Care  /  Hair & Scalp Treatments,9,1
962c592c989,https://www.dollartree.com/Wholesale-Church-Supplies-Bibles-and-Personal-Care-at-DollarTree-com/baby-children/Feeding/962c592c989/index.cat,Feeding,Home  /  Shop by Business  /  Religious & Nonprofit Organizations  /  Baby & Children  /  Feeding,9,1
962c599c1197,https://www.dollartree.com/Wholesale-Church-Supplies-Bibles-and-Personal-Care-at-DollarTree-com/hair-care/Hair-Scalp-Treatments/962c599c1197/index.cat,Hair & Scalp Treatments,Home  /  Shop by Business  /  Religious & Nonprofit Organizations  /  Hair Care  /  Hair & Scalp Treatments,9,1
962c494c494,https://www.dollartree.com/Wholesale-Church-Supplies-Bibles-and-Personal-Care-at-DollarTree-com/Care-Package-Ideas/962c494c494/index.cat,Care Package Ideas,Home  /  Shop by Business  /  Religious & Nonprofit Organizations  /  Care Package Ideas,10,1
500c536c539,https://www.dollartree.com/household/bed-bath/bedding/500c536c539/index.cat,Bedding,Home  /  Household  /  Bed & Bath  /  Bedding,10,1
1149c1159c1175,https://www.dollartree.com/Food-Snacks-Drinks/Drinks/Water/1149c1159c1175/index.cat,Water,Home  /  Food & Pantry  /  Drinks  /  Water,10,1
574c862c666,https://www.dollartree.com/party-supplies/Shop-By-Color/Light-Gold-Party-Supplies/574c862c666/index.cat,Light Gold Party Supplies,Home  /  Party Supplies  /  Shop By Color  /  Light Gold Party Supplies,10,1
574c590c1364,https://www.dollartree.com/party-supplies/gift-wrap-bags-accessories/Gift-Boxes/574c590c1364/index.cat,Gift Boxes,"Home  /  Party Supplies  /  Gift Wrap, Bags & Accessories  /  Gift Boxes",10,1
629c572c494,https://www.dollartree.com/toys/craft-ideas/Care-Package-Ideas/629c572c494/index.cat,Care Package Ideas,Home  /  Party Supplies  /  Wedding Ideas  /  Care Package Ideas,10,1
591c602c1229,https://www.dollartree.com/health-beauty/cosmetics/Face/591c602c1229/index.cat,Face,Home  /  Health & Beauty  /  Cosmetics  /  Face,10,1
591c602c1227,https://www.dollartree.com/health-beauty/cosmetics/Cotton-Swabs/591c602c1227/index.cat,Cotton & Swabs,Home  /  Health & Beauty  /  Cosmetics  /  Cotton & Swabs,10,1
591c602c1228,https://www.dollartree.com/health-beauty/cosmetics/Wipes-Tissues/591c602c1228/index.cat,Wipes & Tissues,Home  /  Health & Beauty  /  Cosmetics  /  Wipes & Tissues,10,1
629c572c494,https://www.dollartree.com/toys/craft-ideas/Care-Package-Ideas/629c572c494/index.cat,Care Package Ideas,Home  /  Health & Beauty  /  Care Package Ideas  /  Care Package Ideas,10,1
629c572c494,https://www.dollartree.com/toys/craft-ideas/Care-Package-Ideas/629c572c494/index.cat,Care Package Ideas,Home  /  Toys & Crafts  /  Craft Ideas  /  Care Package Ideas,10,1
1248c644c917,https://www.dollartree.com/Seasonal-Holidays/emergency-supplies/Food-Drinks/1248c644c917/index.cat,Food & Drinks,Home  /  Seasonal & Holidays  /  Emergency Supplies  /  Food & Drinks,10,1
1284c1123c1123,https://www.dollartree.com/Summer-Fun/Pool-Party/1284c1123c1123/index.cat,Pool Party,Home  /  Seasonal & Holidays  /  Pool Party,11,1
1284c1123c1123,https://www.dollartree.com/Summer-Fun/Pool-Party/1284c1123c1123/index.cat,Pool Party,Home  /  Summer Fun  /  Pool Party,11,1
1149c1157c1166,https://www.dollartree.com/Food-Snacks-Drinks/Snacks/Popcorn/1149c1157c1166/index.cat,Popcorn,Home  /  Food & Pantry  /  Snacks  /  Popcorn,11,1
574c862c669,https://www.dollartree.com/party-supplies/Shop-By-Color/Orange-Party-Supplies/574c862c669/index.cat,Orange Party Supplies,Home  /  Party Supplies  /  Shop By Color  /  Orange Party Supplies,11,1
574c577c1140,https://www.dollartree.com/party-supplies/birthday/Balloon/574c577c1140/index.cat,Balloon,Home  /  Party Supplies  /  Birthday  /  Balloon,11,1
